filename,title,year,manufacturer,rpi2,rpi3,bios,notes
csclubj,Capcom Sports Club ,1997,Capcom,untested,ok,,
cscrtry,Cassette: Scrum Try ,1984,DECO,untested,has issues,,
cscrtry2,Cassette: Scrum Try ,1984,DECO,untested,has issues,,
cshift,Chicken Shift,1984,Bally,untested,ok,,
cshooter,Cross Shooter ,1987,Seibu Kaihatsu,doesn't work,doesn't work,,game_not_working
cshootre,Cross Shooter ,1987,Seibu Kaihatsu,doesn't work,doesn't work,,game_not_working
csilver,Captain Silver ,1987,Data East Corporation,untested,ok,,
cspring1,Championship Sprint ,1986,Atari Games,untested,untested,,
csprins1,Championship Sprint ,1986,Atari Games,untested,untested,,
csprint,Championship Sprint ,1986,Atari Games,untested,ok,,pi3 runs fine
csprint1,Championship Sprint ,1986,Atari Games,untested,ok,,
csprint2,Championship Sprint ,1986,Atari Games,untested,ok,,
csprintf,Championship Sprint ,1986,Atari Games,untested,ok,,
csprintg,Championship Sprint ,1986,Atari Games,untested,ok,,
csprints,Championship Sprint ,1986,Atari Games,untested,ok,,
cstlevna,Vs. Castlevania,1987,Konami,untested,ok,,
csuperas,Cassette: Super Astro Fighter,1981,DECO,untested,has issues,,counts down before starting
csweetht,Cassette: Sweet Heart,1982,DECO,untested,has issues,,counts down before starting
cterrani,Cassette: Terranean,1981,DECO,untested,has issues,,counts down before starting
ctisland,Cassette: Treasure Island ,1981,DECO,untested,has issues,,counts down before starting
ctislnd2,Cassette: Treasure Island ,1981,DECO,untested,has issues,,counts down before starting
ctislnd3,Cassette: Treasure Island ,1981,DECO,doesn't work,doesn't work,,game_not_working
ctomaday,Captain Tomaday,1999,Visco,untested,ok,neogeo,
ctornado,Cassette: Tornado,1982,DECO,untested,has issues,,counts down from 109 pi3
ctribe,The Combatribes ,1990,Technos,ok,ok,,
ctribeb,The Combatribes ,1990,bootleg,untested,untested,,
ctsttape,Cassette: Test Tape,1981,DECO,untested,has issues,,not a game
cubybop,Cuby Bop ,,Taito Corporation,untested,has issues,,
cuebrckj,Cue Brick ,1989,Konami,untested,ok,,
cuebrick,Cue Brick ,1989,Konami,untested,ok,,
cupfinal,Taito Cup Finals ,1993,Taito Corporation Japan,untested,has issues,,
cupsoc,Seibu Cup Soccer,1992,Seibu,doesn't work,doesn't work,,game_not_working
cupsoc2,Seibu Cup Soccer ,1992,Seibu,doesn't work,doesn't work,,game_not_working
cupsocbl,Seibu Cup Soccer ,1992,bootleg,doesn't work,doesn't work,,game_not_working
curvebal,Curve Ball,1984,Mylstar,untested,ok,,
cutieq,Cutie Q,1979,Namco,untested,ok,,
cvs,CVS Bios,1981,Century Electronics,untested,has issues,,not a game
cworld,Capcom World ,1989,Capcom,untested,ok,,
cworld2j,Capcom World 2 ,1992,Capcom,ok,ok,,
cybattlr,Cybattler,1993,Jaleco,untested,ok,,
cyberb21,Cyberball 2072 ,1989,Atari Games,untested,has issues,,
cyberb22,Cyberball 2072 ,1989,Atari Games,untested,has issues,,
cyberb23,Cyberball 2072 ,1989,Atari Games,untested,has issues,,
cyberb2p,Cyberball 2072 ,1989,Atari Games,untested,has issues,,
cyberba2,Cyberball ,1988,Atari Games,untested,has issues,,
cyberbal,Cyberball ,1988,Atari Games,untested,has issues,,graphics very glitchy
cyberbap,Cyberball ,1988,Atari Games,untested,has issues,,
cyberbt,Tournament Cyberball 2072 ,1989,Atari Games,untested,untested,,
cyberbt1,Tournament Cyberball 2072 ,1989,Atari Games,untested,untested,,
cyberlip,Cyber-Lip,1990,SNK,untested,ok,neogeo,
cybots,Cyberbots: Fullmetal Madness ,1995,Capcom,ok,ok,,
cybotsj,Cyberbots: Fullmetal Madness ,1995,Capcom,untested,ok,,
cybrcomm,Cyber Commando ,1995,Namco,doesn't work,doesn't work,,game_not_working
cybrcycc,Cyber Cycles ,1995,Namco,doesn't work,doesn't work,,game_not_working
cybsled,Cyber Sled,1993,Namco,doesn't work,has issues,,game_not_working
cyclshtg,Cycle Shooting,1986,Taito,doesn't work,doesn't work,,game_not_working
cyvern,Cyvern ,1998,Kaneko,has issues,has issues,skns,
czeroize,Cassette: Zeroize?,1985,DECO,doesn't work,doesn't work,,game_not_working
dadandrn,Kyukyoku Sentai Dadandarn ,1993,Konami,untested,ok,,
daimakai,Dai Makai-Mura ,1988,Capcom,untested,ok,,
daioh,Daioh,1993,Athena,ok,ok,,
daireika,Mahjong Daireikai,1989,Jaleco,doesn't work,doesn't work,,game_not_working
dairesya,Dai Ressya Goutou ,1986,Konami,untested,has issues,,
daisenpu,Daisenpu ,1989,Taito Corporation,untested,ok,,
daiskiss,Daisu-Kiss ,1996,Konami,untested,has issues,,
daitorid,Daitoride,1995,Metro,untested,has issues,,no sound
daiyogen,Mahjong Daiyogen ,1990,Video System Co.,untested,ok,,
dakkochn,DakkoChan Jansoh,1987,Sega,doesn't work,untested,,game_not_working
danceyes,Dancing Eyes ,1996,Namco,untested,has issues,,runs slow & no sound
danchih,Danchi de Hanafuda,1999,Altron,doesn't work,doesn't work,,game_not_working
dangar,Dangar - Ufo Robo ,1986,Nichibutsu,untested,ok,,
dangar2,Dangar - Ufo Robo ,1986,Nichibutsu,untested,untested,,
dangarb,Dangar - Ufo Robo ,1986,bootleg,untested,untested,,
dangerz,Danger Zone,1986,Cinematronics,untested,ok,,
dangseed,Dangerous Seed ,1989,Namco,untested,ok,,
dankuga,Dan-Ku-Ga ,1994,Taito Corporation,untested,has issues,,use mame 2003 not perfect but better
daraku,Daraku Tenshi - The Fallen Angels,1998,Psikyo,untested,has issues,,Works great in AdvMame 1.4. Runs slow on mame2003.
darius,Darius ,1986,Taito Corporation Japan,ok,ok,,
darius2,Darius II ,1989,Taito Corporation,has issues,ok,,sound issue after a while / needs further testing
darius2d,Darius II ,1989,Taito Corporation,untested,ok,,
dariuse,Darius ,1986,Taito Corporation,untested,ok,,
dariusg,Darius Gaiden - Silver Hawk ,1994,Taito Corporation Japan,has issues,has issues,,Runs very slow when too much on screen.
dariusgj,Darius Gaiden - Silver Hawk ,1994,Taito Corporation,untested,has issues,,
dariusgu,Darius Gaiden - Silver Hawk ,1994,Taito America Corporation,untested,untested,,
dariusgx,Darius Gaiden - Silver Hawk ,1994,Taito Corporation,untested,has issues,,runs a little slow
dariusj,Darius ,1986,Taito Corporation,untested,ok,,
dariuso,Darius ,1986,Taito Corporation,untested,ok,,
darkadv,Dark Adventure,1987,Konami,untested,has issues,,glitchy graphics
darkedge,Dark Edge,1993,Sega,doesn't work,doesn't work,,game_not_working
darkplnt,Dark Planet,1982,Stern,untested,has issues,,
darksea1,Dark Seal ,1990,Data East Corporation,untested,ok,,
darkseaj,Dark Seal ,1990,Data East Corporation,untested,ok,,
darkseal,Dark Seal ,1990,Data East Corporation,ok,ok,,
darksel2,Dark Seal 2 ,1992,Data East Corporation,untested,ok,,
darktowr,Dark Tower,1992,Game Room,untested,ok,,working pi3
darkwar,Dark Warrior,1981,Century Electronics,untested,has issues,,inaccurate sound emulation pi3
darwin,Darwin 4078 ,1986,Data East Corporation,ok,ok,,
dassaul4,Desert Assault ,1991,Data East Corporation,untested,untested,,
dassault,Desert Assault ,1991,Data East Corporation,untested,ok,,
dazzler,Dazzler,1982,Century Electronics,ok,has issues,,inaccurate sound emulation pi3
dblaxle,Double Axle ,1991,Taito America Corporation,untested,has issues,,
dbldyn,The Double Dynamites,1989,Seibu Kaihatsu,untested,untested,,
dblplay,Super Baseball Double Play Home Run Derby,1987,Leland Corp.,untested,ok,,
dbreed,Dragon Breed,1989,Irem,ok,ok,,"works, correct rom needed. plays fine"
dbz,Dragonball Z,1993,Banpresto,ok,ok,,
dbz2,Dragonball Z 2 Super Battle,1994,Banpresto,has issues,has issues,,"GFX glitches | working on pi3, seems to run fast"
dbzvrvs,Dragon Ball Z V.R.V.S.,1994,Sega,doesn't work,doesn't work,,game_not_working
dcclub,Dynamic Country Club,1991,Sega,untested,ok,,
dcon,D-Con,1992,Success,ok,ok,,
dday,D-Day,1982,Olympia,ok,has issues,,inaccurate colours pi3
ddayc,D-Day ,1982,Olympia,untested,has issues,,inaccurate colours pi3
ddcrew,DD Crew,,Sega,doesn't work,doesn't work,,Listed as Not Working in 0.78 gamelist.txt
ddenlovr,Don Den Lover Vol. 1 ,1996,Dynax,untested,ok,,
ddonpach,DoDonPachi ,1997,Atlus,ok,ok,,
ddonpchj,DoDonPachi ,1997,Atlus,ok,ok,,
ddragn2u,Double Dragon II - The Revenge ,1988,Technos,has issues,has issues,,"laggy at times, but okay working with mame 2000 in the pi3
slow down on pi2, running about 55 FPS"
ddrago3b,Double Dragon 3 - The Rosetta Stone ,1990,bootleg,untested,ok,,
ddragon,Double Dragon ,1987,Technos,ok,ok,,
ddragon2,Double Dragon II - The Revenge ,1988,Technos,ok,ok,,
ddragon3,Double Dragon 3 - The Rosetta Stone ,1990,Technos,ok,ok,,"RPi2: retroarch reports running at 60 FPS but its quite choppy, accurate?"
ddragonb,Double Dragon ,1987,bootleg,ok,ok,,
ddragonu,Double Dragon ,1987,Technos,has issues,has issues,,"Runs very slow when too much on screen.
Slow down on pi2, supposedly this is true to the hardware"
ddragonw,Double Dragon ,1987,Technos,untested,ok,,
ddribble,Double Dribble,1986,Konami,untested,ok,,
ddsom,Dungeons & Dragons: Shadow over Mystara ,1996,Capcom,ok,ok,,
ddsoma,Dungeons & Dragons: Shadow over Mystara ,1996,Capcom,untested,untested,,
ddsomj,Dungeons & Dragons: Shadow over Mystara ,1996,Capcom,untested,ok,,
ddsomjr1,Dungeons & Dragons: Shadow over Mystara ,1996,Capcom,untested,ok,,
ddsomr1,Dungeons & Dragons: Shadow over Mystara ,1996,Capcom,untested,untested,,
ddsomu,Dungeons & Dragons: Shadow over Mystara ,1996,Capcom,ok,ok,,
ddsomur1,Dungeons & Dragons: Shadow over Mystara ,1996,Capcom,untested,untested,,
ddtod,Dungeons & Dragons: Tower of Doom ,1993,Capcom,ok,ok,,
ddtoda,Dungeons & Dragons: Tower of Doom ,1993,Capcom,untested,untested,,
ddtodh,Dungeons & Dragons: Tower of Doom ,1993,Capcom,untested,untested,,
ddtodj,Dungeons & Dragons: Tower of Doom ,1993,Capcom,untested,ok,,
ddtodu,Dungeons & Dragons: Tower of Doom ,1993,Capcom,ok,untested,,
ddtodur1,Dungeons & Dragons: Tower of Doom ,1993,Capcom,untested,untested,,
ddungeon,Dangerous Dungeons,1992,East Coast Coin Company,untested,ok,,
dduxbl,Dynamite Dux ,1989,bootleg,untested,has issues,,some sprites are glitched. still plays fine.
deadang,Dead Angle,1988,Seibu Kaihatsu,untested,ok,,
deadconj,Dead Connection ,1992,Taito Corporation,untested,ok,,
deadconx,Dead Connection ,1992,Taito Corporation Japan,untested,ok,,
deadeye,Dead Eye,1978,Meadows,untested,ok,,
dealer,The Dealer,,Epos Corporation,doesn't work,doesn't work,,game_not_working
deathbrd,Death Brade ,1992,Data East Corporation,untested,ok,,
decathlt,Decathlete,1995,Sega,doesn't work,doesn't work,,game_not_working
decocass,Cassette System,1981,DECO,untested,has issues,,not a game
defcmnd,Defense Command ,1980,bootleg,untested,has issues,,needs reset pi3
defence,Defence Command,1981,Outer Limits,untested,doesn't work,,needs reset pi3
defender,Defender ,1980,Williams,ok,ok,,Runs fine on second launch. Controls need manual adjusting.
defendg,Defender ,1980,Williams,untested,has issues,,needs reset pi3
defendw,Defender ,1980,Williams,untested,has issues,,
defndjeu,Defender ? ,1980,Jeutel,doesn't work,doesn't work,,game_not_working
deltrace,Delta Race,1981,Allied Leisure,untested,has issues,,
demoderb,Demolition Derby,1984,Bally Midway,untested,doesn't work,,
demoderm,Demolition Derby ,1984,Bally Midway,untested,doesn't work,,
demon,Demon,1982,Rock-ola,untested,has issues,,
demoneye,Demoneye-X,1981,Irem,untested,has issues,,"no sound, inaccurate video emulation and wrong colours pi3"
demonwl1,Demon's World ,1989,Toaplan,untested,ok,,
demonwld,Demon's World ,1990,Toaplan,untested,ok,,
depthch,Depthcharge,1977,Gremlin,untested,ok,,
depthv1,Depthcharge ,1977,Gremlin,untested,ok,,
deroon,Deroon DeroDero,1996,Tecmo,doesn't work,doesn't work,,game_not_working
desertgu,Desert Gun,1977,Midway,untested,has issues,,no sound pi3
desertwr,Desert War ,1995,Jaleco,untested,ok,,no sound effects pi3
desterth,Destination Earth,1979,bootleg,untested,ok,,
destroyr,Destroyer,1977,Atari,untested,has issues,,no sound and screen reversed pi3
detatwin,Detana!! Twin Bee ,1991,Konami,untested,ok,,
devilfsg,Devil Fish ,1984,Vision,untested,ok,,
devilfsh,Devil Fish,1982,Artic,untested,ok,,
devilw,Devil World,1987,Konami,untested,has issues,,minor graphics glitches but plays fine
devstor2,Devastators ,1988,Konami,untested,ok,,
devstor3,Devastators ,1988,Konami,untested,ok,,
devstors,Devastators ,1988,Konami,ok,ok,,
devzone,Devil Zone,1980,Universal,untested,has issues,,inaccurate sound emulation pi3
devzone2,Devil Zone ,1980,Universal,untested,has issues,,inaccurate sound emulation pi3
dfeveron,Dangun Feveron ,1998,Cave,ok,ok,,
dharma,Dharma Doujou,1994,Metro,untested,has issues,,no sound
diamond,Diamond Run,1989,KH Video,untested,ok,,
diehard,Die Hard Arcade ,1996,Sega,doesn't work,doesn't work,,doesn't load
digdug,Dig Dug ,1982,Namco,ok,ok,,
digdug2,Dig Dug II ,1985,Namco,ok,ok,,
digdug2o,Dig Dug II ,1985,Namco,untested,ok,,
digduga1,Dig Dug ,1982,Namco,untested,ok,,
digdugat,Dig Dug ,1982,Namco,untested,ok,,
digdugb,Dig Dug ,1982,Namco,untested,ok,,
digger,Digger,1980,Sega,untested,has issues,,no sound pi3
dimahoo,Dimahoo ,2000,Eighting,ok,ok,,
dingo,Dingo,1983,Ashby Computers and Graphics LTD.,untested,ok,,
dino,Cadillacs and Dinosaurs ,1993,Capcom,ok,has issues,, 
dinoj,Cadillacs Kyouryuu-Shinseiki ,1993,Capcom,untested,ok,,
dinorex,Dino Rex ,1992,Taito Corporation Japan,untested,ok,,
dinorexj,Dino Rex ,1992,Taito Corporation,untested,ok,,
dinorexu,Dino Rex ,1992,Taito America Corporation,untested,ok,,
dinou,Cadillacs and Dinosaurs ,1993,Capcom,ok,ok,,
dirtfoxj,Dirt Fox ,1989,Namco,untested,has issues,,
disco,Disco No.1,1982,Data East,untested,ok,,
discof,Disco No.1 ,1982,Data East,untested,ok,,
diverboy,Diver Boy,1992,Electronic Devices Italy,untested,has issues,,
djboy,DJ Boy,1989,Kaneko,doesn't work,doesn't work,,game_not_working
dkgenm72,Daiku no Gensan ,1990,Irem,untested,ok,,
dkgensan,Daiku no Gensan ,1990,Irem,untested,ok,,
dkngjnrb,Donkey Kong Junior ,1982,Nintendo of America,untested,untested,,
dkngjnrj,Donkey Kong Junior ,1982,Nintendo,untested,untested,,
dkong,Donkey Kong ,1981,Nintendo of America,has issues,has issues,,"Poor samples. If I'm not mistaken this does need dkong samples for running and stomping sounds?  Yes many missing sounds, and audio crackling"
dkong3,Donkey Kong 3 ,1983,Nintendo of America,ok,ok,,
dkong3b,Donkey Kong 3 ,1984,bootleg,untested,has issues,,
dkong3j,Donkey Kong 3 ,1983,Nintendo,untested,ok,,
dkongjo,Donkey Kong ,1981,Nintendo,untested,ok,,
dkongjo1,Donkey Kong ,1981,Nintendo,untested,ok,,
dkongjp,Donkey Kong ,1981,Nintendo,untested,ok,,
dkongjr,dkongjr,1982,Nintendo of America,ok,ok,,Donkey Kong Junior (US set F-2)
dkongjrb,Donkey Kong Jr. ,1982,bootleg,ok,ok,,
dkongjrj,Donkey Kong Jr. ,1982,Nintendo,ok,ok,,
dkongjrm,Donkey Kong Jr. ,1982,bootleg,has issues,has issues,,Colors are off
dkongo,Donkey Kong ,1981,Nintendo,untested,ok,,
dlair,Dragon's Lair,1983,Cinematronics,doesn't work,doesn't work,,game_not_working
dleague,Dynamite League ,1990,Taito Corporation,untested,ok,,
dnmtdeka,Dynamite Deka ,1996,Sega,untested,has issues,,
doapp,Dead Or Alive ++ ,1998,Tecmo,doesn't work,doesn't work,,game_not_working
docastl2,Mr. Do's Castle ,1983,Universal,untested,ok,,
docastle,Mr. Do's Castle ,1983,Universal,untested,ok,,
docastlo,Mr. Do's Castle ,1983,Universal,untested,untested,,
dockman,Dock Man,1982,Taito Corporation,untested,ok,,
dodgem,Dodgem,1979,Zaccaria,untested,has issues,,no sound pi3
dogfgt,Acrobatic Dog-Fight,1984,Technos,untested,ok,,
dogfgtj,Dog-Fight ,1984,Technos,untested,ok,,
dogfight,Dog Fight ,1983,Orca Thunderbolt,untested,ok,,
dogosoke,Dogou Souken,1986,SNK,untested,ok,,
dogpatch,Dog Patch,1977,Midway,untested,has issues,,no sound pi3
dogyuun,Dogyuun,1992,Toaplan,doesn't work,has issues,,no sound pi3
dokaben,Dokaben ,1989,Capcom,untested,ok,,
dokyusei,Mahjong Doukyuusei,1995,Make Software,untested,ok,,
dokyusp,Mahjong Doukyuusei Special,1995,Make Software,untested,ok,,
domino,Domino Man,1982,Bally Midway,untested,has issues,,cannot insert coin (mame2010 version works)
dominos,Dominos,1977,Atari,untested,ok,,
dommy,Dommy,,Technos,untested,ok,,
dondenmj,Don Den Mahjong ,1986,Dyna Electronics,untested,ok,,
dondokdj,Don Doko Don ,1989,Taito Corporation,untested,ok,,
dondokdu,Don Doko Don ,1989,Taito America Corporation,untested,ok,,
dondokod,Don Doko Don ,1989,Taito Corporation Japan,untested,ok,,
donpachi,DonPachi ,1995,Atlus,ok,ok,,
donpachj,DonPachi ,1995,Atlus,untested,ok,,
donpachk,DonPachi ,1995,Atlus,untested,ok,,
dorachan,Dorachan,1980,Craul Denshi,untested,has issues,,no sound pi3
dorodon,Dorodon ,1982,Falcon,untested,ok,,
dorodon2,Dorodon ,1982,Falcon,untested,ok,,
dorunru2,Do! Run Run ,1984,Universal,untested,ok,,
dorunruc,Do! Run Run ,1984,Universal,untested,ok,,
dorunrun,Do! Run Run ,1984,Universal,untested,ok,,
dotriku2,Dottori Kun ,1990,Sega,untested,has issues,,no sound pi3
dotrikun,Dottori Kun ,1990,Sega,untested,has issues,,no sound pi3
dotron,Discs of Tron ,1983,Bally Midway,doesn't work,doesn't work,,loads but doesn't play pi3/freezes pi2 upon start up
dotrona,Discs of Tron ,1983,Bally Midway,untested,doesn't work,,loads but doesn't play pi3/freezes pi2 upon start up
dotrone,Discs of Tron ,1983,Bally Midway,untested,doesn't work,,loads but doesn't play pi3/freezes pi2 upon start up
doubledr,Double Dragon ,1995,Technos,untested,ok,neogeo,
douni,Mr. Do vs. Unicorns,1983,Universal,ok,ok,,
dowild,Mr. Do's Wild Ride,1984,Universal,ok,ok,,
downtown,DownTown,1989,Seta,untested,ok,,
dplay,Double Play,1977,Midway,untested,has issues,,no sound pi3
dragnblz,Dragon Blaze,2000,Psikyo,has issues,has issues,,slow down and music stutter
dragngun,Dragon Gun ,1993,Data East Corporation,untested,has issues,,
dragoonj,Dragoon Might ,1995,Konami,untested,doesn't work,,
dragrace,Drag Race,1977,Atari,untested,ok,,
dragwld2,Zhong Guo Long II ,1997,IGS,untested,untested,pgm,
drakton,Drakton,,Epos Corporation,doesn't work,doesn't work,,game_not_working
dremshpr,Dream Shopper,1982,Sanritsu,untested,ok,,
drgnbstr,Dragon Buster,1984,Namco,untested,ok,,
drgninja,Dragonninja ,1988,Data East Corporation,untested,ok,,
drgnmst,Dragon Master,1994,Unico,untested,ok,,
drgnunit,Dragon Unit ,1989,Seta,untested,ok,,
drgpunch,Dragon Punch ,1989,Dynax,untested,ok,,
dribling,Dribbling,1983,Model Racing,untested,has issues,,no sound pi3
driblino,Dribbling ,1983,Model Racing,untested,has issues,,no sound pi3
drifto94,Drift Out '94 - The Hard Order ,1994,Visco,has issues,has issues,,bad sound
driftout,Drift Out ,1991,Visco,has issues,ok,,major graphics issues
drius2do,Darius II ,1989,Taito Corporation,untested,ok,,
drivedge,Driver's Edge,1994,Strata,untested,doesn't work,,game_not_working
driveout,Drive Out,1991,bootleg,untested,ok,,
drivfrcg,Driving Force ,1984,Shinkai Inc.,untested,has issues,,severe colour problems pi3
drivfrcp,Driving Force ,1984,Shinkai Inc.,untested,ok,,
drmario,Vs. Dr. Mario,1990,Nintendo,untested,ok,,
drmicro,Dr. Micro,1983,Sanritsu,untested,ok,,
drtoppel,Dr. Toppel's Adventure ,1987,Taito Corporation Japan,untested,ok,,
drtopplj,Dr. Toppel's Tankentai ,1987,Taito Corporation,untested,ok,,
drtopplu,Dr. Toppel's Adventure ,1987,Taito America Corporation,untested,ok,,
dsaber,Dragon Saber,1990,Namco,untested,ok,,
dsaberj,Dragon Saber ,1990,Namco,untested,ok,,
dsccr94j,Dream Soccer '94 ,1994,Irem,untested,ok,,
dsoccr94,Dream Soccer '94,1994,Irem,untested,has issues,,plays fine with minor gfx glitch. plays smooth on fba
dspirit,Dragon Spirit ,1987,Namco,ok,ok,,
dspirito,Dragon Spirit ,1987,Namco,untested,ok,,
dstlk,Darkstalkers: The Night Warriors ,1994,Capcom,has issues,has issues,,"gfx glitches, fbalpha2012 version works well on pi3"
dstlka,Darkstalkers: The Night Warriors ,1994,Capcom,untested,ok,,
dstlku,Darkstalkers: The Night Warriors ,1994,Capcom,untested,ok,,working pi3 - some gfx flickering
dstlkur1,Darkstalkers: The Night Warriors ,1994,Capcom,untested,ok,,
duckhunt,Vs. Duck Hunt,1985,Nintendo,untested,ok,,"tested with controller (if you have non-analog joystick I suggest use mame (Tab), go to analog controls and change light gun X speed and light gun Y speed to about 10)"
dumpmtmt,Dump Matsumoto ,1986,Sega,untested,ok,,
dungenmu,Dungeon Magic ,1993,Taito America Corporation,untested,has issues,,runs slow
dungeonm,Dungeon Magic ,1993,Taito Corporation Japan,untested,has issues,,runs slow
dunkmnia,Dunk Mania ,1995,Namco,doesn't work,has issues,,game_not_working
dunkshot,Dunk Shot,,Sega,doesn't work,doesn't work,,game_not_working
dw,Dynasty Wars ,1989,Capcom,ok,ok,,
dwj,Tenchi wo Kurau ,1989,Capcom,untested,ok,,
dyger,Dyger ,1989,Philko,ok,ok,,
dygera,Dyger ,1989,Philko,untested,untested,,
dynablsb,Dynablaster ,1992,bootleg,ok,untested,,game_not_working
dynablst,Dynablaster ,1992,Irem,untested,ok,,
dynamski,Dynamic Ski,1984,Taiyo,untested,ok,,
dynduke,Dynamite Duke,1989,Seibu Kaihatsu,has issues,ok,,gfx glitches
dynobop,Dyno Bop,1990,Grand Products,doesn't work,doesn't work,,game_not_working
dzigzag,Zig Zag ,1982,bootleg,untested,ok,,
eagle,Eagle ,1980,Centuri,untested,ok,,
eagle2,Eagle ,1980,Centuri,untested,ok,,
eaglshot,Eagle Shot Golf,1994,Sammy,doesn't work,doesn't work,,game_not_working
eaglshta,Eagle Shot Golf ,1994,Sammy,doesn't work,doesn't work,,game_not_working
earthinv,Super Earth Invasion,1980,bootleg,untested,ok,,
earthjkr,U.N. Defense Force: Earth Joker ,1993,Visco,untested,ok,,
ebases,Extra Bases,1980,Midway,untested,ok,,
ecofghta,Eco Fighters ,1993,Capcom,untested,doesn't work,,
ecofghtr,Eco Fighters ,1993,Capcom,ok,ok,,
edf,E.D.F. : Earth Defense Force,1991,Jaleco,untested,ok,,
edrandy,The Cliffhanger - Edward Randy ,1990,Data East Corporation,untested,ok,,
edrandy1,The Cliffhanger - Edward Randy ,1990,Data East Corporation,untested,untested,,
edrandyj,The Cliffhanger - Edward Randy ,1990,Data East Corporation,untested,ok,,
eggor,Eggor,1983,Telko,untested,has issues,,inaccurate sound emulation and colours pi3
eggs,Eggs,1983,Technos Universal USA,untested,untested,,
eggventr,Egg Venture,1997,The Game Room,untested,untested,,
eggvntdx,Egg Venture Deluxe,1997,The Game Room,untested,untested,,
ehrgeiz,Ehrgeiz ,1998,Square,has issues,untested,,No sound and constant slowdown
eightfrc,Eight Forces,1994,Tecmo,untested,ok,,
eightman,Eight Man,1991,SNK,untested,doesn't work,neogeo,"seems to work ok on pi3 for me, maybe needs further testing?"
einnings,Extra Inning,1978,Midway,untested,has issues,,no sound pi3
ejihon,Ejihon Tantei Jimusyo,1995,Sega,untested,doesn't work,,game_not_working
elandore,Fighting Dragon Legend Elan Doree,1998,Sai-Mate,doesn't work,untested,,game_not_working
elecyoy2,The Electric Yo-Yo ,1982,Taito America Corporation,untested,ok,,
elecyoyo,The Electric Yo-Yo ,1982,Taito America Corporation,untested,untested,,
elevatob,Elevator Action ,1983,bootleg,untested,ok,,
elevator,Elevator Action,1983,Taito Corporation,ok,ok,,
elim2,Eliminator ,1981,Gremlin,untested,has issues,,Game automatically pauses/ enters config mode when pressing start. Rebind these buttons and press them to resolve this issue.
elim2a,Eliminator ,1981,Gremlin,untested,has issues,,see above
elim4,Eliminator ,1981,Gremlin,untested,has issues,,see above
elvact2u,Elevator Action 2 ,1994,Taito America Corporation,has issues,has issues,,can run slow and slight audio glitching
elvactr,Elevator Action Returns ,1994,Taito Corporation Japan,has issues,has issues,,can run slow and slight audio glitching
elvactrj,Elevator Action Returns ,1994,Taito Corporation,untested,has issues,,
embargo,Embargo,1977,Cinematronics,untested,has issues,,no sound pi3
emeralda,Emeraldia ,1993,Namco,untested,ok,,
emerldaa,Emeraldia ,1993,Namco,untested,ok,,
empcity,Empire City: 1931 ,1986,Seibu Kaihatsu,untested,ok,,
empcityj,Empire City: 1931 ,1986,Seibu Kaihatsu,untested,ok,,
endurob2,Enduro Racer ,1986,bootleg,doesn't work,has issues,,
endurobl,Enduro Racer ,1986,bootleg,doesn't work,doesn't work,,
enduror,Enduro Racer,1986,Sega,doesn't work,doesn't work,,game_not_working
enforce,Enforce ,1988,Taito Corporation,ok,ok,,
enigma2,Enigma 2,1981,GamePlan,untested,has issues,,no sound and inaccurate colours pi3
enigma2a,Enigma 2 ,1984,Zilec Electronics,untested,has issues,,no sound and inaccurate colours pi3
eprom,Escape from the Planet of the Robot Monsters ,1989,Atari Games,ok,ok,,
eprom2,Escape from the Planet of the Robot Monsters ,1989,Atari Games,untested,untested,,
equites,Equites,1984,Alpha Denshi Co.,untested,has issues,,
equitess,Equites ,1984,Alpha Denshi Co.,untested,ok,,
esb,The Empire Strikes Back,1985,Atari Games,untested,has issues,,Insert Coin not working
esckids,Escape Kids ,1991,Konami,untested,has issues,,emulation not perfect. graphics misaligned.
espial,Espial ,1983,Orca Thunderbolt,untested,ok,,
espiale,Espial ,1983,Orca Thunderbolt,untested,untested,,
esprade,ESP Ra.De. ,1998,Atlus,ok,ok,,
espradej,ESP Ra.De. ,1998,Atlus,untested,ok,,
espradeo,ESP Ra.De. ,1998,Atlus,untested,ok,,
eswat,E-Swat - Cyber Police,1989,Sega,doesn't work,doesn't work,,game_not_working
eswatbl,E-Swat - Cyber Police ,1989,bootleg,untested,has issues,,Sound issues
eto,Kokontouzai Eto Monogatari ,1994,Visco,untested,ok,,
euroch92,Euro Champ '92 ,1992,Taito Corporation Japan,untested,ok,,
evilston,Evil Stone,1990,Spacy Industrial,untested,ok,,"seems to work fine, not checked extensively"
excitbkj,Vs. Excitebike ,1984,Nintendo,untested,ok,,
excitebk,Vs. Excitebike,1984,Nintendo,ok,ok,,
excthour,Exciting Hour,1985,Technos,untested,ok,,
exctleag,Excite League,,Sega,doesn't work,doesn't work,,game_not_working
exctscc2,Exciting Soccer II,1984,Alpha Denshi Co.,doesn't work,doesn't work,,game_not_working
exctscca,Exciting Soccer ,1983,Alpha Denshi Co.,untested,ok,,
exctsccb,Exciting Soccer ,1983,bootleg,untested,ok,,
exctsccr,Exciting Soccer,1983,Alpha Denshi Co.,untested,ok,,
exedexes,Exed Exes,1985,Capcom,ok,ok,,
exerion,Exerion,1983,Jaleco,untested,ok,,
exerionb,Exerion ,1983,Jaleco,untested,ok,,
